domain_from,domain_from_rank,url_from,page_from_title,url_to,anchor,dofollow,is_lost,first_seen,last_seen,item_type,backlink_spam_score,is_indirect_link
www.fourfourtwo.com,456,https://www.fourfourtwo.com/performance/training/coping-being-dropped,Coping with being dropped | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2020-08-03 23:29:06 +00:00,2026-09-10 21:45:29 +00:00,anchor,0,false
www.fourfourtwo.com,456,https://www.fourfourtwo.com/performance/tactics/hughton-dealing-quick-winger,Chris Hughton: How to stop a quick winger | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2021-10-29 21:27:52 +00:00,2026-09-10 14:34:32 +00:00,anchor,0,false
www.fourfourtwo.com,456,https://www.fourfourtwo.com/performance/training/use-your-mind-mend-your-body,Use your mind to mend your body | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2020-08-03 23:44:06 +00:00,2026-09-10 14:28:56 +00:00,anchor,0,false
www.fourfourtwo.com,456,https://www.fourfourtwo.com/performance/tactics/tosh-farrell-2-step-guide-5-side-corners,Tosh Farrell: 2-step guide to 5-a-side corners | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2023-03-27 00:09:50 +00:00,2026-09-10 09:31:12 +00:00,anchor,0,false
www.fourfourtwo.com,456,https://www.fourfourtwo.com/performance/training/developing-mental-toughness-young-players,Developing mental toughness in young players | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2023-03-27 00:13:07 +00:00,2026-09-09 08:16:29 +00:00,anchor,0,false
www.fourfourtwo.com,456,https://www.fourfourtwo.com/performance/training/building-mental-strength-young-players,Building mental strength in young players | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2023-10-13 21:53:01 +00:00,2026-09-09 05:55:24 +00:00,anchor,0,false
www.fourfourtwo.com,456,https://www.fourfourtwo.com/performance/skills/how-play-target-man-5-point-plan,How to play as a target man: A 5 point plan | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2026-04-13 03:56:40 +00:00,2026-08-15 21:02:12 +00:00,anchor,0,false
www.fourfourtwo.com,456,https://www.fourfourtwo.com/performance/tactics/dion-dublin-score-crosses,Dion Dublin: Score from crosses | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2023-10-13 08:28:51 +00:00,2026-08-15 21:01:51 +00:00,anchor,0,false
www.fourfourtwo.com,456,https://www.fourfourtwo.com/performance/skills/savage-set-piece-delivery,Savage: Set-piece delivery | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2023-10-31 11:44:30 +00:00,2026-08-07 17:56:59 +00:00,anchor,0,false
heavenarticle.com,456,https://heavenarticle.com/youtube-for-marketing-124/,YouTube for Marketing-124 | Heaven Article,https://grassrootsfootball.co.uk/,grassrootsfootball,true,false,2024-08-10 02:11:36 +00:00,2026-02-05 03:38:40 +00:00,anchor,55,false
www.fourfourtwo.com,455,https://www.fourfourtwo.com/performance/training/savage-get-referees-head,Savage: Get in the referee's head | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2023-03-27 00:16:30 +00:00,2026-08-02 08:52:33 +00:00,anchor,0,false
